Time|Symbol|price|net change|size|exch|bid|bid size|bid exchange|ask|ask size|ask exchange|side|volume|open interest|open price|high price|low price|trade condition|bid exchange|ask exchange|bid prices|ask prices|bid sizes|ask sizes
00:07:48.602|SPXW240918C05775000|0.15|-0.6|1|5|0.15|49|5|0.2|93|5|-100|3|0|0.2|0.2|0.15|18|5|5|0.150000|0.200000|49|93
00:08:06.784|SPXW240920C05800000|1.4|-0.57|2|5|1.25|94|5|1.45|86|5|49.9999|7|0|1.55|1.55|1.4|18|5|5|1.250000|1.450000|94|86
00:08:13.181|SPXW240918P05600000|14.1|2.2|1|5|14|33|5|14.5|32|5|-59.9998|60|0|14.08|14.6|13.2|18|5|5|14.000000|14.500000|33|32
00:08:53.102|SPX250117C05600000|270.6|11.9|3|5|269|36|5|273|12|5|-19.9997|5|0|271.55|271.55|270.6|18|5|5|269.000000|273.000000|36|12
00:09:00.997|SPXW240918P05585000|10.4|1.7|1|5|10.2|1|5|10.5|16|5|33.3331|10|0|10.1|10.5|10.1|18|5|5|10.200000|10.500000|1|16
00:09:23.629|SPXW240918P05495000|1.25|-0.3|1|5|1.15|70|5|1.3|92|5|33.3334|31|0|1.19|1.25|1.1|18|5|5|1.150000|1.300000|70|92
00:09:28.666|SPXW240918P05500000|1.45|-0.05|11|5|1.35|1|5|1.45|79|5|100|44|0|1.45|1.5|1.25|18|5|5|1.350000|1.450000|1|79
00:09:46.742|SPXW240918C05725000|2.2|-3.6|1|5|2.05|73|5|2.25|75|5|50.0001|44|0|2.55|2.7|2.2|18|5|5|2.050000|2.250000|73|75
00:10:12.121|SPXW240920C05770000|3|-1.8|1|5|2.9|63|5|3.1|22|5|0|2|0|3.1|3.1|3|130|5|5|2.900000|3.100000|63|22
00:10:12.121|SPXW240920C05800000|1.4|-0.57|1|5|1.35|1|5|1.45|32|5|-0.000119209|8|0|1.55|1.55|1.4|130|5|5|1.350000|1.450000|1|32
00:10:40.384|SPXW240918C05670000|14.4|-10.8|2|5|14.3|30|5|14.7|1|5|-50.0002|25|0|15.5|15.93|14.4|18|5|5|14.300000|14.700000|30|1
00:11:15.241|SPXW240918C05630000|34.2|-12.7|5|5|34|10|5|34.5|13|5|-19.9997|36|0|34.95|34.95|33.87|18|5|5|34.000000|34.500000|10|13
00:12:06.428|SPXW240918P05610000|16.7|1.8|1|5|16.7|31|5|17.1|12|5|-100|8|0|17.41|17.41|16.7|18|5|5|16.700001|17.100000|31|12
00:12:10.191|SPXW240920C05800000|1.45|-0.52|1|5|1.3|87|5|1.5|159|5|50.0001|9|0|1.55|1.55|1.4|18|5|5|1.300000|1.500000|87|159
00:14:41.463|SPXW240918C05670000|14.5|-10.7|1|5|14.4|30|5|14.8|13|5|-49.9999|26|0|15.5|15.93|14.4|18|5|5|14.400000|14.800000|30|13
00:15:28.123|SPXW240918C05740000|1.1|-2.3|3|5|1|104|5|1.1|73|5|100|100|0|1.3|1.3|1.05|18|5|5|1.000000|1.100000|104|73
00:16:04.747|SPXW240918C05720000|2.65|-4.15|2|5|2.55|19|5|2.7|44|5|33.3334|40|0|3.2|3.2|2.5|18|5|5|2.550000|2.700000|19|44
00:18:02.451|SPXW240918C05755000|0.5|-1.3|1|5|0.45|131|5|0.55|126|5|0|16|0|0.6|0.65|0.5|18|5|5|0.450000|0.550000|131|126
00:19:45.807|SPXW240918C05700000|6|-6.41|1|5|5.7|21|5|6|20|5|100|36|0|6.5|6.7|5.5|18|5|5|5.700000|6.000000|21|20
00:19:49.83|SPXW240918P05580000|9.23|0.73|2|5|9|18|5|9.3|17|5|53.3329|18|0|9.49|9.6|8.65|130|5|5|9.000000|9.300000|18|17
00:19:49.83|SPXW240918P05520000|2.24|-0.51|2|5|2.15|57|5|2.3|75|5|20|16|0|2.35|2.35|2.07|130|5|5|2.150000|2.300000|57|75
00:19:49.83|SPXW240918P05550000|4.61|0.41|4|5|4.5|31|5|4.8|55|5|-26.6666|28|0|4.65|4.9|4.3|130|5|5|4.500000|4.800000|31|55
00:19:49.83|SPXW240918P05580000|9.23|0.73|1|5|9|18|5|9.3|17|5|53.3329|19|0|9.49|9.6|8.65|130|5|5|9.000000|9.300000|18|17
00:19:49.83|SPXW240918P05520000|2.24|-0.51|1|5|2.15|57|5|2.3|75|5|20|17|0|2.35|2.35|2.07|130|5|5|2.150000|2.300000|57|75
00:19:49.83|SPXW240918P05550000|4.61|0.41|2|5|4.5|31|5|4.8|55|5|-26.6666|30|0|4.65|4.9|4.3|130|5|5|4.500000|4.800000|31|55
00:19:49.83|SPXW240918P05580000|9.23|0.73|1|5|9|18|5|9.3|17|5|53.3329|20|0|9.49|9.6|8.65|130|5|5|9.000000|9.300000|18|17
00:19:49.83|SPXW240918P05520000|2.24|-0.51|1|5|2.15|57|5|2.3|75|5|20|18|0|2.35|2.35|2.07|130|5|5|2.150000|2.300000|57|75
00:19:49.83|SPXW240918P05550000|4.61|0.41|2|5|4.5|31|5|4.8|55|5|-26.6666|32|0|4.65|4.9|4.3|130|5|5|4.500000|4.800000|31|55
00:20:24.610|SPXW240920C05850000|0.55|-0.1|30|5|0.45|2|5|0.55|184|5|100|30|0|0.55|0.55|0.55|18|5|5|0.450000|0.550000|2|184
00:20:37.43|SPXW240919C05750000|2.75|-2.15|1|5|2.55|63|5|2.8|67|5|60|16|0|3|3|2.65|18|5|5|2.550000|2.800000|63|67
00:20:40.153|SPXW240918P05575000|8|0.85|1|5|8|19|5|8.3|19|5|-100|13|0|8.41|8.46|7.9|18|5|5|8.000000|8.300000|19|19
00:21:28.495|SPXW240918C05750000|0.7|-1.45|2|5|0.6|123|5|0.7|83|5|100|22|0|0.75|0.8|0.65|18|5|5|0.600000|0.700000|123|83
00:21:51.870|SPXW240918P05560000|5.77|0.27|4|5|5.6|23|5|5.9|24|5|13.3333|38|0|6|6.1|5.4|130|5|5|5.600000|5.900000|23|24
00:21:51.870|SPXW240918P05500000|1.38|-0.12|4|5|1.35|1|5|1.4|90|5|20|48|0|1.45|1.5|1.25|130|5|5|1.350000|1.400000|1|90
00:21:51.870|SPXW240918P05530000|2.8|0.15|8|5|2.7|63|5|2.9|62|5|-0.000119209|35|0|2.9|2.97|2.64|130|5|5|2.700000|2.900000|63|62
00:21:55.912|SPXW240930P05200000|3.8|0.5|1|5|3.7|26|5|3.9|48|5|-0.000119209|6|0|3.8|3.8|3.8|18|5|5|3.700000|3.900000|26|48
00:22:01.964|SPXW240923P05550000|16.14|1.44|1|5|15.8|28|5|16.4|14|5|13.3332|4|0|15.77|16.14|15.77|130|5|5|15.800000|16.400000|28|14
00:22:01.964|SPXW240923P05520000|11.42|-3.44|1|5|11.2|48|5|11.6|45|5|9.99998|1|0|11.42|11.42|11.42|130|5|5|11.200000|11.600000|48|45
00:22:01.964|SPXW240923P05525000|12.08|-0.2|2|5|11.9|32|5|12.3|42|5|-9.99998|2|0|12.08|12.08|12.08|130|5|5|11.900000|12.300000|32|42
00:22:23.280|SPXW240918P05555000|5|-0.35|1|5|4.9|51|5|5.2|28|5|-33.3333|4|0|5.35|5.35|5|18|5|5|4.900000|5.200000|51|28
00:22:44.502|SPXW240918P05550000|4.5|0.3|1|5|4.5|1|5|4.6|31|5|-100|33|0|4.65|4.9|4.3|18|5|5|4.500000|4.600000|1|31
00:23:03.970|SPXW240918C05730000|1.75|-3.15|1|5|1.7|134|5|1.85|61|5|-33.3334|24|0|2|2.1|1.75|18|5|5|1.700000|1.850000|134|61
00:23:04.376|SPXW240918C05780000|0.15|-0.2|1|5|0.1|279|5|0.15|2|5|100|12|0|0.17|0.17|0.1|18|5|5|0.100000|0.150000|279|2
00:23:08.308|SPXW240918P05585000|9.7|1|1|5|9.7|38|5|10.1|17|5|-100|11|0|10.1|10.5|9.7|18|5|5|9.700000|10.100000|38|17
00:23:08.639|SPX240920C05785000|1.6|-13.98|2|5|1.4|135|5|1.65|71|5|60|2|0|1.6|1.6|1.6|18|5|5|1.400000|1.650000|135|71
00:23:24.233|SPXW240918P05500000|1.35|-0.15|1|5|1.25|69|5|1.4|90|5|33.3334|49|0|1.45|1.5|1.25|18|5|5|1.250000|1.400000|69|90
00:23:40.876|SPXW240918P05500000|1.25|-0.25|1|5|1.25|68|5|1.4|90|5|-100|50|0|1.45|1.5|1.25|18|5|5|1.250000|1.400000|68|90
00:24:03.221|SPXW240918C05750000|0.7|-1.45|1|5|0.6|197|5|0.7|84|5|100|23|0|0.75|0.8|0.65|18|5|5|0.600000|0.700000|197|84
00:24:35.491|SPXW240918C05670000|14.9|-10.3|1|5|14.8|13|5|15.2|13|5|-50.0002|27|0|15.5|15.93|14.4|18|5|5|14.800000|15.200000|13|13
00:24:50.101|SPXW240919C05770000|1.45|-1|3|5|1.3|84|5|1.5|86|5|50.0001|3|0|1.45|1.45|1.45|18|5|5|1.300000|1.500000|84|86
00:24:57.12|SPX241018P05350000|24.25|1.35|5|5|23.7|62|5|24.8|98|5|0|5|0|24.25|24.25|24.25|130|5|5|23.700001|24.799999|62|98
00:24:57.12|SPX241018P05310000|20.9|-2|5|5|20.4|123|5|21.4|120|5|0|5|0|20.9|20.9|20.9|130|5|5|20.400000|21.400000|123|120
00:25:12.655|SPXW240918C05730000|1.8|-3.1|1|5|1.7|84|5|1.85|61|5|33.3332|25|0|2|2.1|1.75|18|5|5|1.700000|1.850000|84|61
00:25:16.91|SPXW240918C05700000|6|-6.41|1|5|5.8|54|5|6.1|20|5|33.3333|37|0|6.5|6.7|5.5|18|5|5|5.800000|6.100000|54|20
00:25:57.76|SPXW240918C05605000|51.1|-11.87|1|5|50.8|4|5|51.4|4|5|-0.00063578|1|0|51.1|51.1|51.1|130|5|5|50.799999|51.400002|4|4
00:25:57.76|SPXW240918P05605000|15.1|1.23|1|5|14.9|13|5|15.3|31|5|0.000238418|12|0|15.48|15.51|15.1|130|5|5|14.900000|15.300000|13|31
00:25:57.76|SPXW240918C05625000|37.9|-15.9|1|5|37.6|8|5|38.2|8|5|0.00063578|21|0|38|38.14|37.8|130|5|5|37.599998|38.200001|8|8
00:25:57.76|SPXW240918P05585000|10|1.3|1|5|9.8|17|5|10.2|38|5|0|12|0|10.1|10.5|9.7|130|5|5|9.800000|10.200000|17|38
00:26:03.203|SPXW240918P05570000|7.3|0.8|1|5|7|21|5|7.3|20|5|100|25|0|7.49|7.7|6.6|18|5|5|7.000000|7.300000|21|20
00:26:48.384|SPXW240918P05515000|2|-0.05|1|5|1.9|61|5|2|79|5|100|3|0|2.04|2.1|2|18|5|5|1.900000|2.000000|61|79
00:26:55.683|SPXW240918P05545000|4.1|0.3|1|5|3.9|36|5|4.2|64|5|33.3333|14|0|4.13|4.24|4.1|18|5|5|3.900000|4.200000|36|64
00:27:05.179|SPXW240918C05705000|5|-6.3|1|5|4.8|49|5|5.1|23|5|33.3333|23|0|5.5|5.8|5|18|5|5|4.800000|5.100000|49|23
00:27:59.347|SPXW240919C05650000|31.3|-7.8|1|5|31.2|7|5|31.8|23|5|-66.6671|1|0|31.3|31.3|31.3|18|5|5|31.200001|31.799999|7|23
00:28:08.527|SPXW240918P05590000|11.1|1.15|1|5|11|17|5|11.4|34|5|-49.9998|5|0|11.58|11.68|11.1|18|5|5|11.000000|11.400000|17|34
00:28:14.64|SPXW240918C05635000|31.7|-11.1|2|5|31.5|9|5|31.9|1|5|0.000476838|27|0|32.7|32.8|31.7|18|5|5|31.500000|31.900000|9|1
00:28:47.933|SPXW240918C05725000|2.2|-3.6|3|5|2.1|119|5|2.25|51|5|33.3334|47|0|2.55|2.7|2.2|18|5|5|2.100000|2.250000|119|51
00:29:03.170|SPXW240918P05555000|5.3|-0.05|1|5|5|27|5|5.3|59|5|100|5|0|5.35|5.35|5|18|5|5|5.000000|5.300000|27|59
00:29:18.985|SPXW240918C05700000|5.9|-6.51|1|5|5.7|54|5|6|20|5|33.3334|38|0|6.5|6.7|5.5|18|5|5|5.700000|6.000000|54|20
00:29:48.531|SPXW240923P05550000|16.25|1.55|7|5|15.9|42|5|16.6|14|5|0|11|0|15.77|16.25|15.77|130|5|5|15.900000|16.600000|42|14
00:29:48.531|SPXW240923P05520000|11.55|-3.31|7|5|11.3|16|5|11.8|45|5|0|8|0|11.42|11.55|11.42|130|5|5|11.300000|11.800000|16|45
00:29:48.531|SPXW240923P05525000|12.2|-0.08|14|5|11.9|90|5|12.5|58|5|0|16|0|12.08|12.2|12.08|130|5|5|11.900000|12.500000|90|58
00:30:37.831|SPXW240918C05745000|0.85|-1.85|1|5|0.8|1|5|0.9|108|5|5.96047e-05|20|0|1|1.05|0.75|18|5|5|0.800000|0.900000|1|108
00:30:38.297|SPXW240918C05715000|3.3|-4.9|5|5|3.2|10|5|3.4|36|5|-0.000119209|50|0|3.8|3.9|3.3|18|5|5|3.200000|3.400000|10|36
00:30:39.624|SPXW240918C05675000|12.7|-9.1|1|5|12.6|7|5|12.8|13|5|-0.000476838|24|0|14|14|12.2|18|5|5|12.600000|12.800000|7|13
00:31:16.380|SPXW240918C05720000|2.65|-4.15|2|5|2.55|22|5|2.7|44|5|33.3334|42|0|3.2|3.2|2.5|18|5|5|2.550000|2.700000|22|44
00:31:48.892|SPXW240918C05720000|2.65|-4.15|1|5|2.5|1|5|2.65|62|5|100|43|0|3.2|3.2|2.5|18|5|5|2.500000|2.650000|1|62
00:32:00.728|SPXW240918C05730000|1.6|-3.3|1|5|1.55|88|5|1.7|63|5|-33.3333|26|0|2|2.1|1.6|18|5|5|1.550000|1.700000|88|63
00:32:07.78|SPXW240918C05820000|0.05|-0.15|2|5|0|0|5|0.05|2|5|100|2|0|0.05|0.05|0.05|18||5||0.050000||2
00:32:08.867|SPXW241129P03400000|3.2|0.1|1|5|3.1|58|5|3.4|219|5|-33.3333|1|0|3.2|3.2|3.2|18|5|5|3.100000|3.400000|58|219
00:32:38.190|SPX241220P03100000|3.8|0.4|1|5|3.6|269|5|4|157|5|0|1|0|3.8|3.8|3.8|18|5|5|3.600000|4.000000|269|157
